Team,Season,HomeAttack,HomeDefense,AwayAttack,AwayDefense
Liverpool,2019/20,1.8055555555555556,0.6986899563318777,1.4410480349344978,0.5902777777777778
Norwich,2019/20,0.6597222222222222,1.6157205240174672,0.3056768558951965,1.3194444444444444
West Ham,2019/20,1.0416666666666667,1.4410480349344978,0.8296943231441049,1.0069444444444444
Man City,2019/20,1.9791666666666665,0.5676855895196506,1.965065502183406,0.7638888888888888
Bournemouth,2019/20,0.7638888888888888,1.3100436681222707,0.7860262008733624,1.2152777777777777
Sheffield United,2019/20,0.8333333333333333,0.6550218340611353,0.6550218340611353,0.8333333333333333
Burnley,2019/20,0.8333333333333333,1.0043668122270744,0.8296943231441049,0.9375
Southampton,2019/20,0.7291666666666667,1.5283842794759825,1.3100436681222707,0.8680555555555556
Crystal Palace,2019/20,0.5208333333333334,0.8733624454148471,0.6986899563318777,1.0416666666666667
Everton,2019/20,0.8333333333333333,0.9170305676855897,0.8733624454148471,1.2152777777777777
Watford,2019/20,0.7638888888888888,1.1790393013100438,0.611353711790393,1.2847222222222223
Brighton,2019/20,0.6944444444444444,1.1790393013100438,0.8296943231441049,0.9375
Tottenham,2019/20,1.25,0.7423580786026202,1.091703056768559,1.0416666666666667
Aston Villa,2019/20,0.7638888888888888,1.3100436681222707,0.8296943231441049,1.2847222222222223
Leicester,2019/20,1.2152777777777777,0.7423580786026202,1.3973799126637554,0.8333333333333333
Wolves,2019/20,0.9375,0.8296943231441049,1.0480349344978166,0.7291666666666667
Newcastle,2019/20,0.6944444444444444,0.9170305676855897,0.7860262008733624,1.2847222222222223
Arsenal,2019/20,1.25,1.0480349344978166,0.8733624454148471,0.8333333333333333
Man United,2019/20,1.3888888888888888,0.7423580786026202,1.1353711790393013,0.6597222222222222
Chelsea,2019/20,1.0416666666666667,0.6986899563318777,1.7030567685589522,1.3194444444444444
Fulham,2020/21,0.35019455252918286,1.0980392156862744,0.7058823529411764,0.972762645914397
Arsenal,2020/21,0.933852140077821,0.823529411764706,1.215686274509804,0.7003891050583657
Crystal Palace,2020/21,0.7782101167315175,1.2549019607843137,0.823529411764706,1.3229571984435797
Southampton,2020/21,1.0894941634241244,0.9803921568627452,0.7450980392156863,1.6731517509727627
Liverpool,2020/21,1.1284046692607004,0.7843137254901961,1.5294117647058825,0.8560311284046693
Leeds,2020/21,1.0894941634241244,0.823529411764706,1.3333333333333335,1.284046692607004
West Ham,2020/21,1.245136186770428,0.8627450980392157,1.1764705882352942,0.972762645914397
Newcastle,2020/21,1.0116731517509727,1.2941176470588236,0.7843137254901961,1.1284046692607004
West Brom,2020/21,0.5836575875486382,1.5294117647058825,0.7843137254901961,1.4396887159533074
Leicester,2020/21,1.3229571984435797,1.1764705882352942,1.3333333333333335,0.7782101167315175
Tottenham,2020/21,1.3618677042801557,0.7843137254901961,1.2941176470588236,0.972762645914397
Everton,2020/21,0.933852140077821,1.0980392156862744,0.9019607843137255,0.7782101167315175
Brighton,2020/21,0.8560311284046693,0.8627450980392157,0.7058823529411764,0.933852140077821
Chelsea,2020/21,1.206225680933852,0.7058823529411764,1.0588235294117647,0.7003891050583657
Sheffield United,2020/21,0.4669260700389105,1.0588235294117647,0.3137254901960784,1.4007782101167314
Wolves,2020/21,0.8171206225680935,0.9803921568627452,0.5882352941176471,1.0505836575875487
Man United,2020/21,1.4785992217898833,1.0980392156862744,1.3725490196078431,0.622568093385214
Burnley,2020/21,0.5447470817120622,1.0588235294117647,0.7450980392156863,1.0894941634241244
Aston Villa,2020/21,1.1284046692607004,1.0588235294117647,1.019607843137255,0.7392996108949417
Man City,2020/21,1.6731517509727627,0.6666666666666667,1.5686274509803921,0.5836575875486382
Brentford,2021/22,0.7652173913043478,0.8467741935483871,1.0483870967741935,1.2173913043478262
Arsenal,2021/22,1.2173913043478262,0.6854838709677419,1.0483870967741935,1.0782608695652174
Leicester,2021/22,1.182608695652174,0.9274193548387096,1.129032258064516,1.2521739130434784
Wolves,2021/22,0.6956521739130435,1.0080645161290323,0.7258064516129031,0.6260869565217392
Watford,2021/22,0.591304347826087,1.8548387096774193,0.6854838709677419,1.0782608695652174
Aston Villa,2021/22,1.0086956521739132,1.1693548387096775,0.9274193548387096,0.8695652173913044
Everton,2021/22,0.9391304347826087,1.0080645161290323,0.6451612903225806,1.4260869565217393
